,X10_11N_N_N_0,X11_11N_N_N_0,X12_11N_N_N_0,X13_11N_N_N_0,X14_11N_N_N_0,X15_11N_N_N_0,X16_11N_N_N_0,X17_11N_N_N_0,X18_11N_N_N_0,X19_11N_N_N_0,X20_11N_N_N_0
Otu1514,0,0.0258780036968577,0,0,0,0.00369685767097967,0.00184842883548983,0,0.00369685767097967,0,0
Otu53,0.00739371534195933,0.00369685767097967,0.0184842883548983,0.00184842883548983,0.00184842883548983,0.00369685767097967,0.190388170055453,0,0,0.0295748613678373,0.00924214417744917
Otu5576,0,0.00739371534195933,0,0.00184842883548983,0,0,0,0,0,0,0
Otu143,0.00369685767097967,0,0.00369685767097967,0.0369685767097967,0,0.00369685767097967,0.0055452865064695,0.0055452865064695,0.00184842883548983,0,0
Otu52,0.00924214417744917,0.0406654343807763,0.0351201478743068,0.0166358595194085,0.00369685767097967,0.0462107208872458,0.00739371534195933,0.00369685767097967,0.0055452865064695,0.0166358595194085,0.0055452865064695
Otu440,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu9728,0.0406654343807763,0.0258780036968577,0.0147874306839187,0.0314232902033272,0.0683918669131238,0.0055452865064695,0.0258780036968577,0.0388170055452865,0.022181146025878,0.149722735674677,0.129390018484288
Otu21,0.022181146025878,0.0406654343807763,0.00924214417744917,0.0388170055452865,0.011090573012939,0.0794824399260629,0.173752310536044,0.088724584103512,0.0517560073937153,0.105360443622921,0.0720887245841035
Otu148,0.011090573012939,0.00739371534195933,0.0147874306839187,0.0351201478743068,0.0351201478743068,0.123844731977819,0.0166358595194085,0.00369685767097967,0.00739371534195933,0.00184842883548983,0.00369685767097967
Otu1308,0,0,0,0,0,0.00369685767097967,0,0,0.00184842883548983,0,0
Otu146,0.00184842883548983,0.00739371534195933,0,0.011090573012939,0,0.00184842883548983,0,0.011090573012939,0.0129390018484288,0.00369685767097967,0.00369685767097967
Otu9266,0,0,0,0,0,0,0,0.00369685767097967,0,0.00184842883548983,0.00184842883548983
Otu640,0.00184842883548983,0,0,0.00369685767097967,0.0055452865064695,0,0,0,0.0055452865064695,0.00184842883548983,0
Otu34,0.0147874306839187,0,0,0.00739371534195933,0.00184842883548983,0.10720887245841,0.0203327171903882,0.0924214417744917,0.0203327171903882,0.0166358595194085,0.00184842883548983
Otu325,0,0,0,0,0.00184842883548983,0.0129390018484288,0,0,0.00184842883548983,0,0
Otu385,0.00739371534195933,0,0.0055452865064695,0.0184842883548983,0.0129390018484288,0.00184842883548983,0,0.00184842883548983,0,0,0
Otu313,0.00369685767097967,0,0,0.00184842883548983,0.00739371534195933,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0.0055452865064695,0
Otu105,0,0,0,0,0,0.00184842883548983,0,0.00369685767097967,0,0,0.0277264325323475
Otu14969,0,0,0,0.00184842883548983,0.00369685767097967,0,0,0,0,0,0
Otu10360,0,0.00369685767097967,0,0.00369685767097967,0,0,0,0.0166358595194085,0,0,0
Otu290,0,0.00184842883548983,0.0055452865064695,0.00369685767097967,0,0.00369685767097967,0,0,0.00369685767097967,0.00369685767097967,0
Otu277,0.00184842883548983,0.00184842883548983,0,0.00369685767097967,0.00184842883548983,0.0203327171903882,0.00369685767097967,0,0,0,0
Otu118,0.00184842883548983,0.120147874306839,0.249537892791128,0,0.0314232902033272,0.00184842883548983,0,0.00369685767097967,0,0.00184842883548983,0.00739371534195933
Otu180,0,0,0,0.0295748613678373,0,0,0,0,0.0462107208872458,0.022181146025878,0
Otu1169,0,0,0.0240295748613678,0,0,0.00184842883548983,0,0,0,0,0
Otu7789,0.00184842883548983,0,0,0.00184842883548983,0,0,0,0,0.00739371534195933,0.00184842883548983,0.00184842883548983
Otu882,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0
Otu628,0.00739371534195933,0,0.00369685767097967,0,0,0,0.00184842883548983,0,0.00369685767097967,0,0
Otu808,0.00369685767097967,0.00924214417744917,0.00369685767097967,0.00739371534195933,0,0.00369685767097967,0,0.00369685767097967,0,0.00184842883548983,0
Otu1753,0.00184842883548983,0,0,0,0,0,0,0,0,0,0.0055452865064695
Otu7964,0,0,0,0,0,0,0,0,0,0.00369685767097967,0
Otu823,0,0,0,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0,0,0,0
Otu11878,0.00739371534195933,0,0,0,0.0203327171903882,0.0240295748613678,0.00369685767097967,0,0.0055452865064695,0.00369685767097967,0
Otu56,0.0480591497227357,0.00739371534195933,0.00369685767097967,0.0129390018484288,0.0480591497227357,0.0203327171903882,0.011090573012939,0.0166358595194085,0.0388170055452865,0.0166358595194085,0.0166358595194085
Otu9,0.1090573012939,0.0203327171903882,0.101663585951941,0.0683918669131238,0.303142329020333,0.0369685767097967,0.120147874306839,0.208872458410351,0.310536044362292,0.201478743068392,0.410351201478743
Otu141,0,0,0,0,0,0.00369685767097967,0,0,0.00184842883548983,0.00739371534195933,0
Otu661,0.0129390018484288,0.00184842883548983,0,0,0.0055452865064695,0,0,0.0055452865064695,0,0.0240295748613678,0.0147874306839187
Otu327,0.00184842883548983,0,0.00184842883548983,0,0.011090573012939,0,0.00184842883548983,0,0.00369685767097967,0.00369685767097967,0
Otu571,0,0,0,0,0,0,0,0,0,0.00739371534195933,0
Otu1762,0.00369685767097967,0,0,0,0,0,0,0.00184842883548983,0,0.00184842883548983,0.00184842883548983
Otu353,0.0295748613678373,0,0,0,0,0,0.00739371534195933,0.00184842883548983,0.00184842883548983,0.0184842883548983,0
Otu380,0,0,0,0.00184842883548983,0.00184842883548983,0.00739371534195933,0.00184842883548983,0.00184842883548983,0,0,0.00184842883548983
Otu48,0.0166358595194085,0.292051756007394,0.0628465804066543,0.00369685767097967,0.0055452865064695,0.00369685767097967,0.00924214417744917,0,0.00924214417744917,0.0258780036968577,0.00924214417744917
Otu1112,0.00369685767097967,0.00184842883548983,0,0,0,0,0,0,0.00369685767097967,0,0
Otu25,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu7198,0.00184842883548983,0.011090573012939,0,0,0,0.00924214417744917,0,0,0,0,0
Otu169,0.00184842883548983,0.00369685767097967,0.00184842883548983,0,0,0.00924214417744917,0.00184842883548983,0.00184842883548983,0.00184842883548983,0.00184842883548983,0
Otu9033,0,0.00184842883548983,0,0.00184842883548983,0,0.00369685767097967,0.00184842883548983,0,0,0,0
Otu1629,0,0,0,0,0,0,0,0.00739371534195933,0,0,0
Otu2012,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu7609,0,0,0.00369685767097967,0,0,0.0055452865064695,0,0.00184842883548983,0,0,0.00184842883548983
Otu1146,0.00369685767097967,0,0.00369685767097967,0.00184842883548983,0.0055452865064695,0,0.00184842883548983,0,0.00184842883548983,0,0
Otu184,0.00369685767097967,0.00369685767097967,0,0.00184842883548983,0,0,0.0314232902033272,0,0.00369685767097967,0.00369685767097967,0
Otu293,0.00369685767097967,0.00924214417744917,0.00184842883548983,0.011090573012939,0.0055452865064695,0.0055452865064695,0.00184842883548983,0.0147874306839187,0.00739371534195933,0,0
Otu106,0.00369685767097967,0.00184842883548983,0.00739371534195933,0.011090573012939,0.00739371534195933,0,0.00369685767097967,0.0147874306839187,0.00739371534195933,0.0147874306839187,0.00739371534195933
Otu2054,0.00184842883548983,0,0,0,0,0.00369685767097967,0.0055452865064695,0,0,0,0
Otu1200,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu273,0,0.00739371534195933,0.011090573012939,0,0,0,0.0055452865064695,0,0,0,0.00369685767097967
Otu165,0,0,0,0,0.00184842883548983,0.00369685767097967,0,0,0,0.00184842883548983,0
Otu383,0.00369685767097967,0,0,0.00369685767097967,0,0.0055452865064695,0,0,0,0,0
Otu354,0,0,0.00184842883548983,0,0,0.0055452865064695,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0.00184842883548983
Otu391,0.0166358595194085,0.00184842883548983,0,0,0.00184842883548983,0,0,0.00184842883548983,0.00184842883548983,0.00369685767097967,0.00184842883548983
Otu13518,0,0,0,0,0.00369685767097967,0.00184842883548983,0.00184842883548983,0,0,0,0
Otu103,0,0,0,0,0,0,0.0406654343807763,0,0,0,0
Otu129,0,0,0,0,0,0,0,0.0480591497227357,0.0129390018484288,0.00184842883548983,0.00369685767097967
Otu2612,0,0.00184842883548983,0.00184842883548983,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0
Otu2783,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu159,0,0.0979667282809612,0.0277264325323475,0.00369685767097967,0,0.011090573012939,0,0,0,0,0.00184842883548983
Otu265,0,0.0683918669131238,0,0,0,0,0,0,0,0,0
Otu2247,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu1674,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu191,0,0.011090573012939,0,0,0,0,0.00184842883548983,0,0,0,0
Otu407,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu157,0,0.00184842883548983,0,0.00184842883548983,0,0.0055452865064695,0.00369685767097967,0.00184842883548983,0.0055452865064695,0.00369685767097967,0
Otu791,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu763,0,0,0,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983
Otu359,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu13321,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu730,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0.00184842883548983,0.00369685767097967,0
Otu401,0,0,0,0,0.00369685767097967,0,0,0.00369685767097967,0.00184842883548983,0.00184842883548983,0.00184842883548983
Otu12284,0.0055452865064695,0,0,0,0,0,0,0,0.00184842883548983,0.00369685767097967,0
Otu794,0,0,0,0,0,0,0.00184842883548983,0.0388170055452865,0,0,0
Otu89,0.00184842883548983,0.00369685767097967,0,0.00184842883548983,0,0,0,0,0,0,0.00369685767097967
Otu1817,0,0,0,0.00924214417744917,0,0,0,0,0,0,0
Otu181,0.0055452865064695,0.00184842883548983,0,0,0,0,0.00369685767097967,0.00184842883548983,0.022181146025878,0,0
Otu197,0,0,0,0,0.00369685767097967,0.00184842883548983,0.0203327171903882,0,0.00184842883548983,0,0.00184842883548983
Otu817,0,0,0,0,0,0,0,0.00739371534195933,0,0,0
Otu9952,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu781,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu1218,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu813,0,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0,0.0055452865064695,0
Otu3110,0,0,0.00369685767097967,0,0,0,0,0,0,0,0
Otu1312,0.00184842883548983,0,0,0,0,0,0.00184842883548983,0,0,0.00369685767097967,0
Otu267,0.0184842883548983,0,0,0.0277264325323475,0.0702402957486137,0.0166358595194085,0.00369685767097967,0,0,0.00184842883548983,0
Otu404,0,0,0,0.00184842883548983,0,0.00369685767097967,0.00739371534195933,0,0,0.00184842883548983,0
Otu236,0,0,0,0.0129390018484288,0,0,0,0,0,0,0.00184842883548983
Otu361,0.00369685767097967,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu1589,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu867,0.00184842883548983,0,0,0,0,0,0,0.0055452865064695,0,0,0
Otu4227,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu207,0,0.011090573012939,0.00924214417744917,0,0,0,0,0,0,0,0
Otu1247,0.011090573012939,0,0.0055452865064695,0,0.00369685767097967,0,0,0.00369685767097967,0.0055452865064695,0.00184842883548983,0
Otu1505,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0.00184842883548983
Otu1072,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0,0.00369685767097967
Otu2791,0,0,0,0,0,0,0,0,0,0,0.00924214417744917
Otu842,0.0055452865064695,0,0,0.00184842883548983,0.00369685767097967,0.00184842883548983,0,0,0,0,0
Otu376,0.00369685767097967,0.0129390018484288,0.00184842883548983,0,0,0.00369685767097967,0,0,0,0,0.00184842883548983
Otu11790,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983
Otu1004,0.0240295748613678,0,0,0,0,0,0.00369685767097967,0,0.00184842883548983,0,0
Otu4954,0.0055452865064695,0,0,0.022181146025878,0.00739371534195933,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu1761,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu684,0,0,0,0.00739371534195933,0,0,0,0,0,0,0.00369685767097967
Otu170,0.00739371534195933,0,0,0.0203327171903882,0.00184842883548983,0.00369685767097967,0.00184842883548983,0.00184842883548983,0.0166358595194085,0,0.00184842883548983
Otu3353,0,0,0,0,0,0,0,0,0,0,0.00369685767097967
Otu1438,0,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0
Otu1219,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu1224,0,0,0.0480591497227357,0,0.00369685767097967,0,0,0,0,0,0
Otu908,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0,0,0,0.00369685767097967
Otu720,0,0,0,0,0,0,0,0.00369685767097967,0,0,0
Otu3721,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu1135,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0
Otu1654,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0.0055452865064695,0
Otu1363,0,0,0,0,0.00369685767097967,0,0,0.00184842883548983,0,0,0
Otu1059,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0.00369685767097967,0,0
Otu1541,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu337,0.00369685767097967,0.00369685767097967,0.00369685767097967,0.011090573012939,0.00924214417744917,0,0,0,0.0055452865064695,0,0
Otu1606,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu7766,0,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0,0
Otu516,0.0295748613678373,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0,0.00924214417744917
Otu722,0.00184842883548983,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu2136,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu5794,0,0,0.00369685767097967,0,0,0,0,0,0,0,0
Otu6,0.0258780036968577,0.0055452865064695,0.0425138632162662,0.190388170055453,0.00184842883548983,0.0591497227356747,0,0.022181146025878,0,0.0055452865064695,0.00369685767097967
Otu1699,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0.00184842883548983
Otu12228,0,0,0,0,0,0,0.00739371534195933,0,0,0.00184842883548983,0
Otu1981,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu462,0,0.00184842883548983,0,0,0,0.00739371534195933,0.00184842883548983,0,0.00184842883548983,0,0
Otu574,0,0,0,0.00184842883548983,0,0,0,0,0,0.00184842883548983,0
Otu665,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu1788,0.00369685767097967,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu913,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0,0,0.0129390018484288,0
Otu731,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu226,0.00739371534195933,0,0,0,0,0.00739371534195933,0,0,0.0055452865064695,0,0
Otu1573,0,0,0,0,0,0,0,0.00924214417744917,0,0.00184842883548983,0
Otu189,0,0.00369685767097967,0,0.00369685767097967,0,0,0,0,0,0,0
Otu659,0,0,0,0.00184842883548983,0,0,0,0,0,0,0.00369685767097967
Otu3675,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu13532,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu3057,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0.00184842883548983,0,0
Otu1527,0,0,0,0,0.00369685767097967,0,0,0,0,0.00184842883548983,0
Otu67,0.0055452865064695,0.00369685767097967,0,0.0055452865064695,0,0,0,0.00369685767097967,0,0,0.00369685767097967
Otu6904,0,0,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu1151,0,0,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983
Otu12015,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu2784,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu4975,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu298,0.0147874306839187,0.00184842883548983,0.00369685767097967,0.00739371534195933,0,0.0258780036968577,0,0.00369685767097967,0.0517560073937153,0.00184842883548983,0.0055452865064695
Otu1474,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu11591,0.00184842883548983,0,0.00369685767097967,0,0,0,0,0,0,0,0.00184842883548983
Otu518,0,0,0,0,0.00184842883548983,0.0055452865064695,0,0,0.0166358595194085,0,0
Otu100,0,0,0,0,0.00369685767097967,0.0351201478743068,0.0055452865064695,0,0.011090573012939,0,0
Otu235,0.00184842883548983,0.00184842883548983,0,0.00369685767097967,0.0258780036968577,0,0,0,0.00369685767097967,0.00184842883548983,0
Otu561,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0,0,0.00369685767097967,0
Otu1405,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0.00184842883548983,0
Otu1833,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0
Otu120,0,0,0,0.0591497227356747,0,0.0351201478743068,0.0166358595194085,0,0.00369685767097967,0,0
Otu5172,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
